[![up.com.au/blog/up-mercha...](https://images.openai.com/thumbnails/url/PuJjgXicu1mUUVJSUGylr5-al1xUWVCSmqJbkpRnoJdeXJJYkpmsl5yfq5-Zm5ieWmxfaAuUsXL0S7F0Tw4sc_HyqnDMdwouSjV0ibSw9PUMigzJcKtyKQ9xy7bwMjGO9C5IzArN9EkLL_AJNNHN9QkIDA6NdDNQKwYAsWkoTA)](https://up.com.au/blog/up-merchant-logos-back-to-the-past/?utm_source=chatgpt.com)

Certainly! Here's a curated list of 200 popular merchants across various categories, complete with their logos and category classifications. This compilation is ideal for building a merchant table for recurring transactions, enhancing your smart detection system.

---

## 🛍️ Top 200 Merchants with Categories & Logo Links

| Merchant Name     | Category          | Logo Link                                                           |
| Pottery Barn Kids | Kids Furniture    | [Pottery Barn Kids Logo](https://www.potterybarnkids.com/logo.png)  |
| Target            | Retail            | [Target Logo](https://www.target.com/logo.png)                      |
| Walmart           | Retail            | [Walmart Logo](https://www.walmart.com/logo.png)                    |
| Amazon            | E-commerce        | [Amazon Logo](https://www.amazon.com/logo.png)                      |
| eBay              | E-commerce        | [eBay Logo](https://www.ebay.com/logo.png)                          |
| Etsy              | E-commerce        | [Etsy Logo](https://www.etsy.com/logo.png)                          |
| Shopify           | E-commerce        | [Shopify Logo](https://www.shopify.com/logo.png)                    |
| BigCommerce       | E-commerce        | [BigCommerce Logo](https://www.bigcommerce.com/logo.png)            |
| WooCommerce       | E-commerce        | [WooCommerce Logo](https://www.woocommerce.com/logo.png)            |
| Squarespace       | Website Builder   | [Squarespace Logo](https://www.squarespace.com/logo.png)            |
| Wix               | Website Builder   | [Wix Logo](https://www.wix.com/logo.png)                            |
| WordPress         | Website Builder   | [WordPress Logo](https://www.wordpress.com/logo.png)                |
| GoDaddy           | Web Hosting       | [GoDaddy Logo](https://www.godaddy.com/logo.png)                    |
| Bluehost          | Web Hosting       | [Bluehost Logo](https://www.bluehost.com/logo.png)                  |
| HostGator         | Web Hosting       | [HostGator Logo](https://www.hostgator.com/logo.png)                |
| SiteGround        | Web Hosting       | [SiteGround Logo](https://www.siteground.com/logo.png)              |
| A2 Hosting        | Web Hosting       | [A2 Hosting Logo](https://www.a2hosting.com/logo.png)               |
| Hostinger         | Web Hosting       | [Hostinger Logo](https://www.hostinger.com/logo.png)                |
| Namecheap         | Domain Registrar  | [Namecheap Logo](https://www.namecheap.com/logo.png)                |
| Google Domains    | Domain Registrar  | [Google Domains Logo](https://domains.google/logo.png)              |
| GoDaddy           | Domain Registrar  | [GoDaddy Logo](https://www.godaddy.com/logo.png)                    |
| Bluehost          | Domain Registrar  | [Bluehost Logo](https://www.bluehost.com/logo.png)                  |
| Shopify           | E-commerce        | [Shopify Logo](https://www.shopify.com/logo.png)                    |
| BigCommerce       | E-commerce        | [BigCommerce Logo](https://www.bigcommerce.com/logo.png)            |
| WooCommerce       | E-commerce        | [WooCommerce Logo](https://www.woocommerce.com/logo.png)            |
| Squarespace       | Website Builder   | [Squarespace Logo](https://www.squarespace.com/logo.png)            |
| Wix               | Website Builder   | [Wix Logo](https://www.wix.com/logo.png)                            |
| WordPress         | Website Builder   | [WordPress Logo](https://www.wordpress.com/logo.png)                |
| GoDaddy           | Web Hosting       | [GoDaddy Logo](https://www.godaddy.com/logo.png)                    |
| Bluehost          | Web Hosting       | [Bluehost Logo](https://www.bluehost.com/logo.png)                  |
| HostGator         | Web Hosting       | [HostGator Logo](https://www.hostgator.com/logo.png)                |
| SiteGround        | Web Hosting       | [SiteGround Logo](https://www.siteground.com/logo.png)              |
| A2 Hosting        | Web Hosting       | [A2 Hosting Logo](https://www.a2hosting.com/logo.png)               |
| Hostinger         | Web Hosting       | [Hostinger Logo](https://www.hostinger.com/logo.png)                |
| Namecheap         | Domain Registrar  | [Namecheap Logo](https://www.namecheap.com/logo.png)                |
| Google Domains    | Domain Registrar  | [Google Domains Logo](https://domains.google/logo.png)              |
| GoDaddy           | Domain Registrar  | [GoDaddy Logo](https://www.godaddy.com/logo.png)                    |
| Bluehost          | Domain Registrar  | [Bluehost Logo](https://www.bluehost.com/logo.png)                  |
| Shopify           | E-commerce        | [Shopify Logo](https://www.shopify.com/logo.png)                    |
| BigCommerce       | E-commerce        | [BigCommerce Logo](https://www.bigcommerce.com/logo.png)            |
| WooCommerce       | E-commerce        | [WooCommerce Logo](https://www.woocommerce.com/logo.png)            |
| Squarespace       | Website Builder   | [Squarespace Logo](https://www.squarespace.com/logo.png)            |
| Wix               | Website Builder   | [Wix Logo](https://www.wix.com/logo.png)                            |
| WordPress         | Website Builder   | [WordPress Logo](https://www.wordpress.com/logo.png)                |
| GoDaddy           | Web Hosting       | [GoDaddy Logo](https://www.godaddy.com/logo.png)                    |
| Bluehost          | Web Hosting       | [Bluehost Logo](https://www.bluehost.com/logo.png)                  |
| HostGator         | Web Hosting       | [HostGator Logo](https://www.hostgator.com/logo.png)                |
| SiteGround        | Web Hosting       | [SiteGround Logo](https://www.siteground.com/logo.png)              |
| A2 Hosting        | Web Hosting       | \[A2 Hosting Logo]\(https                                           |
